               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030685,            0.028069,           0.0090391,             0.73767,             0.61345,             0.66223,             0.40867,            0.038582,            0.026964,            0.014444,           0.0097011,           0.0097011,           0.0097011
                  37,            0.030504,            0.028148,           0.0087767,             0.73134,              0.6156,             0.67045,             0.41377,            0.039224,            0.026292,             0.01419,            0.009684,            0.009684,            0.009684
                  38,             0.03072,            0.027978,           0.0092444,             0.71935,             0.60491,             0.64691,             0.39473,            0.040254,            0.027047,            0.016222,           0.0096664,           0.0096664,           0.0096664
                  39,            0.030091,            0.028111,           0.0083775,             0.72483,             0.61545,             0.65409,             0.40049,            0.039587,            0.027004,            0.015608,           0.0096484,           0.0096484,           0.0096484
                  40,            0.029778,            0.027438,           0.0086401,             0.77241,             0.59872,             0.67277,             0.42029,            0.039253,            0.025991,            0.014359,           0.0096299,           0.0096299,           0.0096299
                  41,            0.030521,            0.027396,           0.0084943,             0.72179,             0.62022,             0.66409,             0.40942,            0.039154,            0.026551,            0.014612,            0.009611,            0.009611,            0.009611
                  42,            0.029807,            0.027695,           0.0081707,             0.74095,             0.62131,             0.67466,             0.41815,            0.039114,            0.026827,             0.01466,           0.0095916,           0.0095916,           0.0095916
                  43,            0.029619,            0.027379,           0.0081409,             0.73675,             0.61449,              0.6685,              0.4205,            0.039311,            0.027238,             0.01485,           0.0095717,           0.0095717,           0.0095717
                  44,            0.029387,            0.027117,           0.0082592,             0.73516,             0.62673,             0.67366,             0.42012,            0.038801,            0.026507,            0.014404,           0.0095514,           0.0095514,           0.0095514
                  45,            0.029282,            0.026549,            0.007806,             0.70401,                0.64,              0.6781,              0.4244,            0.039638,            0.027218,            0.014942,           0.0095307,           0.0095307,           0.0095307
                  46,            0.028681,            0.026523,           0.0074532,             0.71449,             0.64398,             0.67435,             0.41723,            0.038941,            0.027174,            0.014281,           0.0095095,           0.0095095,           0.0095095
                  47,            0.028753,            0.026674,            0.007657,              0.7494,             0.60758,             0.66969,             0.41819,            0.039727,             0.02737,            0.015676,           0.0094879,           0.0094879,           0.0094879
                  48,            0.028671,             0.02657,           0.0079137,             0.70314,             0.62192,             0.66096,             0.41268,            0.039283,            0.027135,             0.01486,           0.0094659,           0.0094659,           0.0094659
                  49,            0.028585,            0.025654,           0.0086427,             0.73664,              0.6206,             0.68034,             0.42888,            0.038893,            0.027227,            0.014991,           0.0094434,           0.0094434,           0.0094434
                  50,            0.028386,            0.025661,           0.0080659,             0.75911,             0.63169,             0.68276,               0.427,            0.039277,            0.027519,            0.014549,           0.0094205,           0.0094205,           0.0094205
                  51,            0.028192,            0.026683,           0.0076558,             0.73048,             0.63132,             0.68047,             0.43266,            0.038621,            0.027004,            0.014239,           0.0093971,           0.0093971,           0.0093971
                  52,            0.028328,             0.02536,           0.0072255,             0.76051,             0.63824,             0.69116,             0.43557,            0.039098,            0.027514,            0.013952,           0.0093733,           0.0093733,           0.0093733
                  53,            0.028205,            0.025329,           0.0068278,             0.73229,             0.63727,             0.67843,              0.4271,             0.03858,            0.027337,            0.014105,           0.0093491,           0.0093491,           0.0093491
                  54,            0.027352,             0.02524,           0.0068567,             0.74937,              0.6402,              0.6868,             0.43008,            0.039484,            0.028103,            0.015331,           0.0093245,           0.0093245,           0.0093245
                  55,            0.027055,            0.025393,           0.0072958,             0.75147,              0.6357,             0.69175,             0.44375,            0.038434,            0.027426,            0.014408,           0.0092995,           0.0092995,           0.0092995
                  56,            0.027553,            0.025729,           0.0073041,             0.75863,             0.59413,             0.65729,             0.41691,            0.038996,             0.02817,             0.01719,            0.009274,            0.009274,            0.009274
                  57,            0.027668,            0.025998,           0.0077643,             0.75845,             0.61399,             0.66602,             0.41848,            0.039429,            0.028219,            0.015184,           0.0092481,           0.0092481,           0.0092481
